nama_tempat,type_place,alamat,jam_operasional,rating,jumlah_review,telepon,stt_tlp,website,latitude,longitude,Ketersediaan Akses,aksesibilitas
Masjid At Taqwa,Masjid,"CCRW+4JH Rt 013 Rw 09 Langensari 1 komplek Keresidenan, Nagri Kidul, Kec. Purwakarta, Kabupaten Purwakarta, Jawa Barat 41111",Buka 24 jam,"4,8",16,,Tidak Ada ,Tidak Tersedia,-6.5597097,107.4466048,Aksesibilitas Tersedia,[]
Masjid Jami Darussalam,Masjid,"CFJ4+GVF, Jl. Kapten Halim, Lebakanyar, Kec. Pasawahan, Kabupaten Purwakarta, Jawa Barat 41111",,"4,3",22,,Tidak Ada ,Tidak Tersedia,-6.5686988,107.4571748,Aksesibilitas Tersedia,['Tidak memiliki tempat parkir khusus pengguna kursi roda']
Masjid Jamie Al Musthofa - Sukasari - Tegalmunjul - Purwakarta,Masjid,"FC4X+43X, Gg. Sukasari II, Tegalmunjul, Kec. Purwakarta, Kabupaten Purwakarta, Jawa Barat",Buka 24 jam,"4,3",3,"
0856-9494-5158",Ada,Tidak Tersedia,-6.5446413,107.4477256,Aksesibilitas Tersedia,[]
Masjid endang,Masjid,"8F2H+7R4, Jl. Wanayasa-Bojong-Sawit, Neglasari, Kec. Darangdan, Kabupaten Purwakarta, Jawa Barat",,,,,Tidak Ada ,Tidak Tersedia,-6.6993621,107.4795632,Aksesibilitas Tersedia,[]
Masjid Al Furqon,Masjid,"FC5V+QMW, Jl. Veteran, Nagri Kaler, Kec. Purwakarta, Kabupaten Purwakarta, Jawa Barat 41115",,"4,7",188,,Tidak Ada ,Tidak Tersedia,-6.5405089,107.4442127,Aksesibilitas Tersedia,"['Tidak memiliki pintu masuk khusus pengguna kursi roda', 'Tidak memiliki tempat parkir khusus pengguna kursi roda']"
Masjid Al-Furqon,Masjid,"FF56+4F4, Perum Jl. Graha Citalang Permai, Citalang, Kec. Purwakarta, Kabupaten Purwakarta, Jawa Barat 41111",,"4,2",11,,Tidak Ada ,Tidak Tersedia,-6.5422293,107.4612025,Aksesibilitas Tersedia,[]
Masjid Al-Muslih,Masjid,"Jl. Ipik Gandamanah No.217, Munjuljaya, Kec. Purwakarta, Kabupaten Purwakarta, Jawa Barat 41117",16.00 hingga 20.00,"5,0",3,,Tidak Ada ,Tidak Tersedia,-6.5318001,107.4560624,Aksesibilitas Tersedia,[]
Masjid Nururrohmah,Masjid,"FC5R+MV4, Nagri Kaler, Kec. Purwakarta, Kabupaten Purwakarta, Jawa Barat 41119",,"4,9",8,,Tidak Ada ,Tidak Tersedia,-6.5408533,107.4422158,Aksesibilitas Tersedia,[]
Masjid Asy Syifaa,Masjid,"CCRV+MRW, Gg. Tupai I, Nagri Kidul, Kec. Purwakarta, Kabupaten Purwakarta, Jawa Barat 41111",Buka 24 jam,"4,9",63,,Tidak Ada ,Tidak Tersedia,-6.5582618,107.4445684,Aksesibilitas Tersedia,[]
Masjid Ipik gandamanah,Masjid,"FF9C+HXP, Jl. Munjul Jaya Cilengkeng Purwakarta, Munjuljaya, Kec. Purwakarta, Kabupaten Purwakarta, Jawa Barat 41117",09.00 hingga 17.00,"5,0",1,,Tidak Ada ,Tidak Tersedia,,,Aksesibilitas Tersedia,[]
Masjid Al-Idrus Purwakarta,Masjid,"CCXQ+5C8, Gg. Samolo, Cipaisan, Kec. Purwakarta, Kabupaten Purwakarta, Jawa Barat 41113",,"4,3",6,,Tidak Ada ,Tidak Tersedia,-6.5520826,107.4385751,Aksesibilitas Tersedia,[]
Masjid Jamie Ali Hamdan,Masjid,"FCMJ+MW9, Maracang, Kec. Babakancikao, Kabupaten Purwakarta, Jawa Barat 41151",,"4,5",44,,Tidak Ada ,Tidak Tersedia,-6.5158435,107.4323576,Aksesibilitas Tersedia,[]
Unknown,Unknown,"FC3G+9HQ, Jl. Pramuka, Bunder, Kec. Jatiluhur, Kabupaten Purwakarta, Jawa Barat 41161",04.15 hingga 21.00,"4,7",30,,Ada,Tersedia,,,Aksesibilitas Tersedia,"['Tidak memiliki pintu masuk khusus pengguna kursi roda', 'Tidak memiliki tempat parkir khusus pengguna kursi roda']"
Masjid KH Muhammad Aof,Masjid,"Jl. Baing Marjuki No.40, Cipaisan, Kec. Purwakarta, Kabupaten Purwakarta, Jawa Barat 41113",,"5,0",3,,Tidak Ada ,Tidak Tersedia,-6.5558014,107.4385537,Aksesibilitas Tersedia,[]
Masjid Jami An-Nur,Masjid,"FFG2+GQ9, Jl. Knpi, Ciseureuh, Kec. Purwakarta, Kabupaten Purwakarta, Jawa Barat 41118",Buka 24 jam,"3,9",8,,Tidak Ada ,Tidak Tersedia,-6.5237219,107.4519853,Aksesibilitas Tersedia,"['Tidak memiliki pintu masuk khusus pengguna kursi roda', 'Tidak memiliki tempat parkir khusus pengguna kursi roda']"
Masjid Jami' Fatimah Azzahra (Salafi),Masjid,"Jl. Ipik Gandamanah No.3, Tegalmunjul, Kec. Purwakarta, Kabupaten Purwakarta, Jawa Barat 41116",,"4,8",15,,Tidak Ada ,Tidak Tersedia,-6.5408147,107.4506379,Aksesibilitas Tersedia,[]
Masjid Al Hidayah,Masjid,"Blok Beringin No., Jl. Veteran Blok Beringin No.43, Nagri Kaler, Kec. Purwakarta, Kabupaten Purwakarta, Jawa Barat 41115",,"4,5",2,,Tidak Ada ,Tidak Tersedia,-6.5369208,107.4474562,Aksesibilitas Tersedia,[]
Masjid Jamie Al-Ishlah,Masjid,"Jl. Ibrahim Singadilaga No.23, Nagri Kaler, Kec. Purwakarta, Kabupaten Purwakarta, Jawa Barat 41115",,"4,8",35,,Tidak Ada ,Tidak Tersedia,-6.5451261,107.4412257,Aksesibilitas Tersedia,[]
Masjid Baitul Ukhuwah PPR,Masjid,"FC2W+QFG, Unnamed Road, Nagri Tengah, Kec. Purwakarta, Kabupaten Purwakarta, Jawa Barat 41114",,"4,8",9,,Tidak Ada ,Tidak Tersedia,-6.5480618,107.4462046,Aksesibilitas Tersedia,[]
Masjid Ar-Risalah,Masjid,"Jl. Laks. Laut RE. Martadinata No.16, Nagri Tengah, Kec. Purwakarta, Kabupaten Purwakarta, Jawa Barat 41114",,"4,6",30,,Tidak Ada ,Tidak Tersedia,,,Aksesibilitas Tersedia,[]
Masjid Al-Abror,Masjid,"FF65+Q29, Kp. Tegal Junti, RT.06/RW.RT.04, Tegalmunjul, Kec. Purwakarta, Kabupaten Purwakarta, Jawa Barat 41116",,"4,9",21,,Tidak Ada ,Tidak Tersedia,,,Aksesibilitas Tersedia,[]
Masjid Jami Al-Kautsar,Masjid,"FC2R+PQG, Cipaisan, Kec. Purwakarta, Kabupaten Purwakarta, Jawa Barat",Buka 24 jam,"4,7",20,,Tidak Ada ,Tidak Tersedia,-6.5481957,107.4419439,Aksesibilitas Tersedia,[]
Masjid Jami Al Istiqomah,Masjid,"FCJX+9J4, Jl. Veteran, Ciseureuh, Kec. Purwakarta, Kabupaten Purwakarta, Jawa Barat 41118",,"4,3",24,,Tidak Ada ,Tidak Tersedia,-6.5191135,107.449089,Aksesibilitas Tersedia,[]
Masjid Jami Al Barokah,Masjid,"Jl. Jend. Sudirman Blok Mawar I No.223, Nagri Kaler, Kec. Purwakarta, Kabupaten Purwakarta, Jawa Barat 41115",,"4,8",10,,Tidak Ada ,Tidak Tersedia,,,Aksesibilitas Tersedia,[]
"Masjid Darussalam Margajaya , Kec Purwakarta Kab Purwakarta",Masjid,"FF96+J34, Munjuljaya, Kec. Purwakarta, Kabupaten Purwakarta, Jawa Barat 41117",,"3,5",4,"
0857-2447-1705",Ada,Tidak Tersedia,-6.5309847,107.4602074,Aksesibilitas Tersedia,[]
Masjid Al-Firdaus Purwakarta,Masjid,"8C2X+VHQ, Jl. Wanayasa-Bojong-Sawit, Sawit, Kec. Darangdan, Kabupaten Purwakarta, Jawa Barat 41163",04.00 hingga 22.00,"4,7",99,,Tidak Ada ,Tidak Tersedia,-6.6977879,107.4489859,Aksesibilitas Tersedia,['Tidak memiliki pintu masuk khusus pengguna kursi roda']
Masjid Al-Ikhlas Batu Mas Regency,Masjid,"Ciseureuh, Kec. Purwakarta, Kabupaten Purwakarta, Jawa Barat 41117",Buka 24 jam,"5,0",6,,Tidak Ada ,Tidak Tersedia,-6.5264823,107.4621898,Aksesibilitas Tersedia,[]
Masjid Besar Hidayah Kecamatan Babakan Cikao Purwakarta,Masjid,"FCGQ+97W, Babakan Cikao, Ciwareng, Kec. Purwakarta, Kabupaten Purwakarta, Jawa Barat 41151",,"4,7",30,"
0819-0941-5888",Ada,Tidak Tersedia,-6.5240159,107.4382029,Aksesibilitas Tersedia,"['Tidak memiliki pintu masuk khusus pengguna kursi roda', 'Tidak memiliki tempat parkir khusus pengguna kursi roda']"
Masjid Al-Idrus,Masjid,"CCWR+P2G, Gg. Kaum kaler, RT.004/RW.001, Cipaisan, Kec. Purwakarta, Kabupaten Purwakarta, Jawa Barat 41113",Buka 24 jam,"5,0",1,,Tidak Ada ,Tidak Tersedia,,,Aksesibilitas Tersedia,[]
MASJID AL HUSNA,Masjid,"Jl. Veteran No.164, Ciseureuh, Kec. Purwakarta, Kabupaten Purwakarta, Jawa Barat 41118",,"3,0",1,,Tidak Ada ,Tidak Tersedia,,,Aksesibilitas Tersedia,[]
Masjid Al Ikhlash - LDII,Masjid,"Jl. Pramuka No.255, Bunder, Kec. Jatiluhur, Kabupaten Purwakarta, Jawa Barat 41161",Buka 24 jam,"4,9",24,,Tidak Ada ,Tersedia,-6.545426,107.4248934,Aksesibilitas Tersedia,[]
Masjid Bashirah,Masjid,"Jl. Garuda No.47, RT.14/RW.4, Nagri Kidul, Kec. Purwakarta, Kabupaten Purwakarta, Jawa Barat 41111",,"5,0",12,,Tidak Ada ,Tidak Tersedia,-6.557578,107.4475725,Aksesibilitas Tersedia,[]
Masjid Al Azhar,Masjid,"FFG8+89C, Ciseureuh, Kec. Purwakarta, Kabupaten Purwakarta, Jawa Barat 41118",,"4,8",26,,Tidak Ada ,Tidak Tersedia,-6.5241937,107.4658968,Aksesibilitas Tersedia,[]
Masjid At Taqwa Munjul Jaya Lama,Masjid,"JL. RAWASARI I Gg. Rw. Emas No.A39, RT.35/RW.3, Munjuljaya, Kec. Purwakarta, Kabupaten Purwakarta, Jawa Barat 41117",,"4,8",44,,Tidak Ada ,Tidak Tersedia,-6.529983,107.4549754,Aksesibilitas Tersedia,[]
Masjid Fatimah,Masjid,"Jl. Kapten Halim, Lebakanyar, Kec. Pasawahan, Kabupaten Purwakarta, Jawa Barat 41111",09.00 hingga 21.00,"4,9",438,"
0877-7864-2742",Ada,Tidak Tersedia,-6.5682097,107.460224,Aksesibilitas Tersedia,"['Tidak memiliki pintu masuk khusus pengguna kursi roda', 'Tidak memiliki tempat parkir khusus pengguna kursi roda']"
Masjid Jami Al-Aziz,Masjid,"Jl. Taman Pahlawan No.48, Nagri Kaler, Kec. Purwakarta, Kabupaten Purwakarta, Jawa Barat 41119",03.30 hingga 20.00,"4,8",48,,Tidak Ada ,Tidak Tersedia,-6.5384814,107.4414764,Aksesibilitas Tersedia,[]
MASJID HAYATUL HASANAH,Masjid,"FC8R+9G8, Nagri Kaler, Kec. Purwakarta, Kabupaten Purwakarta, Jawa Barat 41119",,"4,9",13,,Tidak Ada ,Tidak Tersedia,-6.5340751,107.4413392,Aksesibilitas Tersedia,[]
Masjid Jami' Nurul Huda,Masjid,"FFC4+4V8, Jl. Ipik Gandamanah, Munjuljaya, Kec. Purwakarta, Kabupaten Purwakarta, Jawa Barat 41117",,"4,0",1,,Tidak Ada ,Tidak Tersedia,-6.5297023,107.4572149,Aksesibilitas Tersedia,[]
Masjid Jami Al Majid,Masjid,"Jl. Pramuka No.164A, Bunder, Kec. Jatiluhur, Kabupaten Purwakarta, Jawa Barat 41161",,"4,6",78,"
0852-8070-6855",Ada,Tidak Tersedia,-6.5484328,107.4267874,Aksesibilitas Tersedia,"['Tidak memiliki pintu masuk khusus pengguna kursi roda', 'Tidak memiliki tempat parkir khusus pengguna kursi roda']"
Masjid Jami Al-Husna,Masjid,"FF82+GG8, Munjuljaya, Kec. Purwakarta, Kabupaten Purwakarta, Jawa Barat 41117",,"5,0",3,,Tidak Ada ,Tidak Tersedia,-6.5337237,107.4513191,Aksesibilitas Tersedia,[]
Masjid Jamie Baeturrohman,Masjid,"Jl. Kapten Halim No.4, Nagri Kidul, Kec. Purwakarta, Kabupaten Purwakarta, Jawa Barat 41111",04.00 hingga 20.55,"4,8",25,,Tidak Ada ,Tidak Tersedia,-6.564129,107.4508709,Aksesibilitas Tersedia,"['Tidak memiliki pintu masuk khusus pengguna kursi roda', 'Tidak memiliki tempat parkir khusus pengguna kursi roda']"
Masjid An-nur,Masjid,"Jl. Swadaya 2 Blok No., Jl. Swadaya 2 Blok Sukarata No.27, Cipaisan, Kec. Purwakarta, Kabupaten Purwakarta, Jawa Barat 41113",Buka 24 jam,"4,7",15,,Tidak Ada ,Tidak Tersedia,-6.5462278,107.4367049,Aksesibilitas Tersedia,"['Tidak memiliki pintu masuk khusus pengguna kursi roda', 'Tidak memiliki tempat parkir khusus pengguna kursi roda']"
Masjid Tajug Gede Cilodong,Masjid,"GFWJ+JPH, Cikopo, Kec. Bungursari, Kabupaten Purwakarta, Jawa Barat 41181",Buka 24 jam,"4,6",412,,Tidak Ada ,Tidak Tersedia,-6.4534313,107.4818575,Aksesibilitas Tersedia,[]
WISATA ISLAMI MASJID ENDAN ANDANSIH,Institusi Pendidikan,"8F2F+7H4, Neglasari, Kec. Darangdan, Kabupaten Purwakarta, Jawa Barat 41163",,"4,9",19,,Tidak Ada ,Tidak Tersedia,-6.6993645,107.4739479,Aksesibilitas Tersedia,[]
Masjid Al-Hidayyah,Masjid,"FFC7+G85, Munjuljaya, Kec. Purwakarta, Kabupaten Purwakarta, Jawa Barat 41117",,"4,8",11,,Tidak Ada ,Tidak Tersedia,-6.5287352,107.4633644,Aksesibilitas Tersedia,[]
Masjid Al-Falah,Masjid,"FC9V+QHR, RT.39/RW.04, Nagri Kaler, Kec. Purwakarta, Kabupaten Purwakarta, Jawa Barat 41115",,"5,0",1,,Tidak Ada ,Tidak Tersedia,-6.5305013,107.4438894,Aksesibilitas Tersedia,[]
Masjid Baitul Arqom,Masjid,"CCWW+FJR, Nagri Tengah, Kec. Purwakarta, Kabupaten Purwakarta, Jawa Barat 41114","04.00 hingga 05.30,11.30 hingga 20.00","4,4",86,,Tidak Ada ,Tidak Tersedia,-6.5537742,107.4465012,Aksesibilitas Tersedia,[]
Masjid At Taqwa ( Ciseureuh ),Masjid,"FFM2+3Q9, Unnamed Road, Ciseureuh, Kec. Purwakarta, Kabupaten Purwakarta, Jawa Barat 41118",Buka 24 jam,"4,4",8,,Tidak Ada ,Tidak Tersedia,-6.5173482,107.4519762,Aksesibilitas Tersedia,[]
Masjid Baitussalam (LDII),Masjid,"FFG3+464, Unnamed Road, Ciseureuh, Kec. Purwakarta, Kabupaten Purwakarta, Jawa Barat 41118",Buka 24 jam,"4,8",18,,Ada,Tersedia,-6.524727,107.4530901,Aksesibilitas Tersedia,[]
Masjid Jami Al Magfiroh,Masjid,"Jl. Mekarsari 1 No.Rt 015, RT.07, Purwamekar, Kec. Purwakarta, Kabupaten Purwakarta, Jawa Barat",,"4,8",8,,Tidak Ada ,Tidak Tersedia,-6.5339912,107.440236,Aksesibilitas Tersedia,[]
Mushola AL - HUDA,Masjid,"FCCJ+C9G, Maracang, Kec. Babakancikao, Kabupaten Purwakarta, Jawa Barat 41151",,"4,8",12,,Tidak Ada ,Tidak Tersedia,-6.5289311,107.4309418,Aksesibilitas Tersedia,[]
GKKD PURWAKARTA,Gereja Kristen,"RT 006/ RW 003 Kp. Warung Mekar, Jalan Raya, Bungursari, Kec. Bungursari, Kabupaten Purwakarta, Jawa Barat 41181",,"5,0",5,"
0896-2800-1512",Ada,Tidak Tersedia,-6.4793138,107.479729,Aksesibilitas Tersedia,[]
Gereja Pasundan Jatiluhur,Gereja,"F9JW+4FQ, Unnamed Road,, Jatimekar, Kec. Jatiluhur, Kabupaten Purwakarta, Jawa Barat 41152",,"4,5",6,,Tidak Ada ,Tidak Tersedia,-6.5196678,107.3962454,Aksesibilitas Tersedia,[]
