nama_tempat,type_place,alamat,jam_operasional,rating,jumlah_review,telepon,stt_tlp,website,latitude,longitude,Ketersediaan Akses,aksesibilitas
Masjid Agung Al-Musabaqoh,Masjid,"CQH6+R85, Karanganyar, Kec. Subang, Kabupaten Subang, Jawa Barat 41215",Buka 24 jam,"4,7",602,,Tidak Ada ,Tidak Tersedia,-6.5704798,107.7608639,Aksesibilitas Tersedia,"['Memiliki pintu masuk khusus pengguna kursi roda', 'Ada toilet khusus pengguna kursi roda']"
Gereja Katolik Kristus Sang Penabur,Gereja Katolik,"CQF7+6X6, Jl. A. Nanta Sukarya, Pasirkareumbi, Kec. Subang, Kabupaten Subang, Jawa Barat 41211",,"5,0",23,,Tidak Ada ,Tidak Tersedia,-6.5769627,107.7648939,Aksesibilitas Tersedia,[]
Gua Maria Tebar Kamulyan Subang,Tempat Ziarah,"Cikalapa Jl. A. Nanta Sukarya No.18, Pasirkareumbi, Kec. Subang, Kabupaten Subang, Jawa Barat 41211",,"4,7",546,"
(0260) 421805",Ada,Tidak Tersedia,-6.5768808,107.7643823,Aksesibilitas Tersedia,['Memiliki pintu masuk khusus pengguna kursi roda']
Pastori Gereja Advent Subang,Gereja,"CQC7+J54, Pasirkareumbi, Kec. Subang, Kabupaten Subang, Jawa Barat",,"5,0",1,,Tidak Ada ,Tidak Tersedia,-6.5784992,107.7629493,Aksesibilitas Tersedia,[]
GPdI Eben-Haezer Subang,Gereja Pantekosta,"CQG7+4RF, Jl. Emo Kurniaatmaja, Pasirkareumbi, Kec. Subang, Kabupaten Subang, Jawa Barat 41211",,"4,7",13,,Tidak Ada ,Tidak Tersedia,-6.5746777,107.764561,Aksesibilitas Tersedia,[]
Gereja GKPB Sinar Pengharapan Subang,Gereja,"Jl. Ade Irma Suryani Nasution No.7, Cigadung, Kec. Subang, Kabupaten Subang, Jawa Barat 41211",,"5,0",2,,Tidak Ada ,Tidak Tersedia,-6.571049,107.7572127,Aksesibilitas Tersedia,[]
GBI SUBANG,Gereja,"Jl. Otto Iskandardinata No.137, Karanganyar, Kec. Subang, Kabupaten Subang, Jawa Barat 41211",Buka 24 jam,"4,9",32,,Ada,Tidak Tersedia,-6.5586142,107.7712102,Aksesibilitas Tersedia,[]
GPPK Subang,Gereja,"CQH4+Q64, Jl. Panji No.9, Cigadung, Kec. Subang, Kabupaten Subang, Jawa Barat 41211",,"5,0",7,,Tidak Ada ,Tidak Tersedia,-6.5703762,107.7555461,Aksesibilitas Tersedia,[]
GMAHK Jemaat Subang,Gereja,"Jl. Gelanggang Olah Raga No.6, Pasirkareumbi, Kec. Subang, Kabupaten Subang, Jawa Barat 41211",19.00 hingga 21.00,"4,5",2,,Tidak Ada ,Tidak Tersedia,-6.5783757,107.7629964,Aksesibilitas Tersedia,[]
Gereja Katolik Kristus Sang Penabur,Gereja Katolik,"CQF7+6X6, Jl. A. Nanta Sukarya, Pasirkareumbi, Kec. Subang, Kabupaten Subang, Jawa Barat 41211",,"5,0",23,,Tidak Ada ,Tidak Tersedia,,,Aksesibilitas Tersedia,[]
GPIB Maranatha Subang,Gereja,"CQG7+H75, Jl. Letnan Jenderal S. Parman, Pasirkareumbi, Kec. Subang, Kabupaten Subang, Jawa Barat 41211",,"5,0",2,,Tidak Ada ,Tidak Tersedia,-6.573709,107.7632705,Aksesibilitas Tersedia,[]
