nama_tempat,type_place,alamat,jam_operasional,rating,jumlah_review,telepon,stt_tlp,website,latitude,longitude,Ketersediaan Akses,aksesibilitas
Masjid Jami Cucimanah,Masjid,"7HC8+JM7, Jl. Jagasatru, Jagasatru, Kec. Pekalipan, Kota Cirebon, Jawa Barat 45116",,"4,5",44,,Tidak Ada ,Tidak Tersedia,-6.7284595,108.5666786,Aksesibilitas Tersedia,"['Tidak memiliki pintu masuk khusus pengguna kursi roda', 'Tidak memiliki tempat parkir khusus pengguna kursi roda']"
Masjid Abdurrokhim,Masjid,"Jl. Panjunan No.28, Panjunan, Kec. Lemahwungkuk, Kota Cirebon, Jawa Barat 45112",,"4,6",13,,Tidak Ada ,Tidak Tersedia,-6.7181824,108.5674682,Aksesibilitas Tersedia,[]
Masjid Darul Hikmah,Masjid,"7HG6+HJ5, Jl. Pekalipan IV, Pekalipan, Kec. Pekalipan, Kota Cirebon, Jawa Barat 45117",Buka 24 jam,"4,9",40,,Tidak Ada ,Tidak Tersedia,-6.7236091,108.5616217,Aksesibilitas Tersedia,[]
Masjid DARUSSALAM,Masjid,"6HV2+3H4, Kalijaga, Kec. Harjamukti, Kota Cirebon, Jawa Barat 45144",,"5,0",10,,Tidak Ada ,Tidak Tersedia,-6.7573665,108.5514457,Aksesibilitas Tersedia,[]
Masjid Sirathal Mustaqim,Masjid,"Ciperna, Kec. Talun, Kabupaten Cirebon, Jawa Barat 45171",Buka 24 jam,"4,9",586,,Tidak Ada ,Tidak Tersedia,-6.7668258,108.5261665,Aksesibilitas Tersedia,"['Memiliki pintu masuk khusus pengguna kursi roda', 'Memiliki tempat parkir khusus pengguna kursi roda', 'Ada toilet khusus pengguna kursi roda']"
Masjid Baitul Ma'arif,Masjid,"7GGR+P2C, Tuk, Kec. Kedawung, Kabupaten Cirebon, Jawa Barat 45153",,"4,7",30,,Tidak Ada ,Tidak Tersedia,-6.7231778,108.5400258,Aksesibilitas Tersedia,"['Tidak memiliki pintu masuk khusus pengguna kursi roda', 'Tidak memiliki tempat parkir khusus pengguna kursi roda']"
Masjid An Najah Pasar Kalitanjung,Masjid,"Jl. Jenderal Sudirman No.3, Harjamukti, Kec. Harjamukti, Kota Cirebon, Jawa Barat 45143",,"4,8",13,,Tidak Ada ,Tidak Tersedia,-6.7451911,108.5426101,Aksesibilitas Tersedia,[]
Masjid Kholwat Syekh Tholhah Bin Tholabuddin,Masjid,"8GMV+X2X, blok Gg. Piliran, Kalisapu, Kec. Gunungjati, Kabupaten Cirebon, Jawa Barat 45151",07.00 hingga 21.00,"4,6",61,,Tidak Ada ,Tidak Tersedia,-6.6650041,108.5426106,Aksesibilitas Tersedia,[]
Masjid Ar-Roudhoh (RS. Permata Cirebon),Masjid,"Jl. Pilang Raya No.587, Pilangsari, Kec. Kedawung, Kabupaten Cirebon, Jawa Barat 45153",Buka 24 jam,"4,6",99,,Ada,Tersedia,-6.707619,108.5339567,Aksesibilitas Tersedia,['Ada toilet khusus pengguna kursi roda']
Masjid Al-Fithroh,Masjid,"7HQ3+277, Jl. Samiaji No.1, Kejaksan, Kec. Kejaksan, Kota Cirebon, Jawa Barat 45123",,"4,7",127,,Tidak Ada ,Tidak Tersedia,-6.7123793,108.5531747,Aksesibilitas Tersedia,[]
Masjid Al-Manshuroh,Masjid,"6HX8+7VR, Jl. GN Lawu, Larangan, Kec. Harjamukti, Kota Cirebon, Jawa Barat",Buka 24 jam,"4,7",114,,Tidak Ada ,Tidak Tersedia,-6.7517644,108.5671409,Aksesibilitas Tersedia,[]
Masjid Jami' Al - Ikhlas,Masjid,"7GPJ+H4G, Kedawung, Kec. Kedawung, Kabupaten Cirebon, Jawa Barat 45153",,"4,8",64,,Tidak Ada ,Tidak Tersedia,-6.7135607,108.5303169,Aksesibilitas Tersedia,"['Tidak memiliki pintu masuk khusus pengguna kursi roda', 'Tidak memiliki tempat parkir khusus pengguna kursi roda']"
Masjid Jami' Asy-Syura,Masjid,"General Hospital Muhammadiyah Cirebon, Jl. Sukasari No.10 General Hospital Muhammadiyah Cirebon, Sukapura, Kec. Kejaksan, Kota Cirebon, Jawa Barat 45122",Buka 24 jam,"4,4",31,,Tidak Ada ,Tidak Tersedia,-6.7088454,108.5517114,Aksesibilitas Tersedia,"['Tidak memiliki pintu masuk khusus pengguna kursi roda', 'Tidak memiliki tempat parkir khusus pengguna kursi roda']"
MASJID KRAMAT MEGU,Masjid,"7GM3+MF6 Masjid Kramat Megu, Jl. Fatahillah, Megu Gede, Kec. Weru, Kabupaten Cirebon, Jawa Barat 45154",,"4,7",242,"
0852-2331-526",Ada,Tidak Tersedia,-6.7158619,108.5037557,Aksesibilitas Tersedia,[]
Masjid Adz-Dzikra MAN 1 Cirebon,Masjid,"7GXW+4X7, Sukapura, Kec. Kejaksan, Kota Cirebon, Jawa Barat 45122",,"4,5",13,,Tidak Ada ,Tidak Tersedia,-6.7022233,108.547414,Aksesibilitas Tersedia,"['Tidak memiliki pintu masuk khusus pengguna kursi roda', 'Tidak memiliki tempat parkir khusus pengguna kursi roda']"
Masjid Al Barokah,Masjid,"7HM2+RF6, Pekiringan, Kec. Kesambi, Kota Cirebon, Jawa Barat",,"4,9",15,,Tidak Ada ,Tidak Tersedia,-6.7154536,108.5511457,Aksesibilitas Tersedia,[]
Masjid Al-Iman SMANSA,Masjid,"Sma 1 Cirebon, Jl. Dr. Wahidin Sudirohusodo No.81, Sukapura, Kec. Kejaksan, Kota Cirebon, Jawa Barat 45122",Buka 24 jam,"4,5",22,,Tidak Ada ,Tidak Tersedia,-6.7112841,108.5511875,Aksesibilitas Tersedia,[]
Masjid Al-Munawarah PLTG ( Tempat Kajian Rutin the Awwabins ),Masjid,"7G7R+V2H, Jl. Komp. PLTG, Karyamulya, Kec. Kesambi, Kota Cirebon, Jawa Barat 45135",Buka 24 jam,"4,8",217,,Ada,Tersedia,-6.7353024,108.5401222,Aksesibilitas Tersedia,"['Tidak memiliki pintu masuk khusus pengguna kursi roda', 'Tidak memiliki tempat parkir khusus pengguna kursi roda']"
Masjid Syekh Bayanillah,Masjid,"6GP9+GMX, Sampiran, Kec. Talun, Kota Cirebon, Jawa Barat 45171",Buka 24 jam,"4,6",73,,Tidak Ada ,Tidak Tersedia,-6.7636454,108.519221,Aksesibilitas Tersedia,['Tidak memiliki pintu masuk khusus pengguna kursi roda']
Masjid Raya Nurul Amal,Masjid,"Jl. Ciremai Raya No.128, Larangan, Kec. Harjamukti, Kota Cirebon, Jawa Barat 45141",Buka 24 jam,"4,8",766,,Tidak Ada ,Tidak Tersedia,-6.7485323,108.5614208,Aksesibilitas Tersedia,[]
